Cross,Generation,ID,photo_standard_pixels,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels
MmAk,F2,423,422.291,40.608,78.447,86.284,67.357
MmAk,F2,424,506.167,54,97.185,110.059,87.664
MmAk,F2,425,399.144,42.579,72.78,82.377,60.44
MmAk,F2,426,475.798,46.487,90.028,101.074,72.422
MmAk,F2,427,482.813,52.088,90.006,103.092,85.088
MmAk,F2,428,432.26,46.872,84.095,95.771,73.6
MmAk,F2,429,457.121,46.53,81.049,96.255,66.843
MmAk,F2,430,398.814,43.324,77.929,80.455,60.803
MmAk,F2,431,405.601,45.88,80.05,84.119,60.44
MmAk,F2,432,449.989,50.16,85.006,100.24,66.483
MmAk,F2,433,433.462,46.271,83.6,91.706,61.156
MmAk,F2,434,461.156,39,92.087,105.551,85.703
MmAk,F2,435,443.081,48.765,87.693,102.181,81.633
MmAk,F2,436,510.119,49.092,102.176,107.042,76.4
MmAk,F2,437,467.863,45.541,85.586,95.818,76.276
MmAk,F2,438,478.151,46.271,92.071,91.924,59.666
MmAk,F2,439,438.564,40.2,80.623,99.745,72.945
MmAk,F2,440,441.2,45.044,80.411,100.404,63.127
MmAk,F2,441,553.868,50,112.752,124.483,91.049
MmAk,F2,442,511.473,52,100.08,121.758,84.291
MmAk,F2,443,387.014,38.118,73.756,85.755,61.62
MmAk,F2,444,472.382,47,94.085,112.681,67.007
MmAk,F2,445,497.443,45,90.089,116.211,74.653
MmAk,F2,446,514.253,54.332,97.293,112.898,80.156
MmAk,F2,447,436.406,43.738,86.284,90.338,69.405
MmAk,F2,448,495.445,51.01,92.005,106.513,67.956
MmAk,F2,449,505.284,53.235,91.662,107.541,79.63
MmAk,F2,450,360.112,33.015,77.713,80.668,56.608
MmAk,F2,451,440.474,45.122,85,92.867,60.959
MmAk,F2,452,499.025,53.085,96.509,103.078,72.719
MmAk,F2,453,486.812,47.434,92.347,105.475,75.073
MmAk,F2,454,555.825,59.135,106.705,126.194,81.688
MmAk,F2,455,433.014,50.488,76.688,88.459,64.031
MmAk,F2,456,407.185,40.792,78.447,84.119,65.054
MmAk,F2,457,474.27,44.407,92.087,112.254,74.887
MmAk,F2,458,564.128,57.871,113.283,126.59,94.403
MmAk,F2,459,468.028,50.16,87.476,103.315,78.032
MmAk,F2,460,388.252,39.319,73.11,82.765,62.201
MmAk,F2,461,465.102,48.042,89.275,101.966,62.129
MmAk,F2,462,487.37,48,95.005,107.201,70.093
MmAk,F2,463,484.202,50.04,88.363,100.225,75.133
MmAk,F2,464,467.347,52.773,79.63,97.005,62.225
MmAk,F2,465,521.714,54.918,89.869,106.519,63.655
MmAk,F2,466,409.011,44,71.544,79.649,60.897
MmAk,F2,467,536.015,59.034,99.045,117.886,77.337
MmAk,F2,468,411.394,45.88,77.713,80.016,56.4
MmAk,F2,469,425.019,43.046,77.233,87.02,64.353
MmAk,F2,470,392.001,39.051,74.061,87.02,59.942
MmAk,F2,471,410.206,42,78.907,82.735,67.84
MmAk,F2,472,386.4,38.118,64.228,60.351,42.617
MmAk,F2,473,415.005,43.046,78.435,90.377,64.461
MmAk,F2,474,464.242,44.407,91.654,102.622,64.351
MmAk,F2,475,448.368,38.21,89.006,96.602,65.513
MmAk,F2,476,429.029,41.412,84.344,94.829,67.119
MmAk,F2,477,373.021,39.051,68.39,77.414,53.39
MmAk,F2,478,447.001,46.011,84.481,95.273,59.363
MmAk,F2,479,453.004,42.297,91.049,102.432,61.911
MmAk,F2,481,466.154,41.11,86.036,101.771,70.663
MmAk,F2,482,391.104,39.56,74.607,79.336,53.854
MmAk,F2,483,469.068,48.094,90.022,99.328,64.078
MmAk,F2,484,466.069,46.39,92.087,99.624,65.552
MmAk,F2,485,458.214,45.1,91.96,102.374,70.95
MmAk,F2,486,458.07,50.18,86.99,97.824,59.225
MmAk,F2,487,478.528,48.48,99.036,107.738,68.306
