Fish ID ,ID,Species_cross,Control Width ,Cadual_peduncle_pixel,Outside_ray_pixel,Longest_ray_pixel,longest_ray_number ,middle_ray_pixels,middle_ray_birfuraction,Notes
MmAk303_F2_325_cold.jpg,325,MmAk_F2,238.002,44.3,73.079,87.397,3,70.705,25.168,
MmAk303_F2_326_cold.jpg,326,MmAk_F2,238.002,45.544,72.507,85.428,3,77.015,36.09,
MmAk303_F2_327_cold_CB,327,MmAk_F2,0.694,0.11,0.195,0.224,3,0.187,0.071,
MmAk303_F2_328_cold_jpg,328,MmAk_F2,244.074,40.798,87.242,96.128,3,82.67,35.584,Needle obstructing view for accurate measurements
MmAk303_F2_329_cold_jpg,329,MmAk_F2,239.47,34.668,59.831,67.412,3,49.446,29.935,
MmAk303_F2_330_cold_jpg,330,MmAk_F2,235.019,41.816,66.198,82.098,3,66.949,32.694,
MmAk303_F2_331_cold_jpg,331,MmAk_F2,233.009,49.092,77.878,97.609,3,84.344,45.274,
MmAk303_F2_332_cold_jpg,332,MmAk_F2,208.022,36.691,71.2,78.772,3,63.439,30.009,
MmAk303_F2_333_cold_jpg,333,MmAk_F2,211.038,34.359,60.554,71.554,3,56.729,21.578,
MmAk303_F2_334_cold_jpg,334,MmAk_F2,211.606,29.004,43.761,69.414,N/A,61.994,18.822,
MmAk303_F2_335_cold_jpg,335,MmAk_F2,214.457,43.364,42.191,95.945,3,81.394,39.623,
MmAk303_F2_336_cold_jpg,336,MmAk_F2,206.197,35.501,34.37,36.899,N/A,58.64,24.568,
